"Type de contrôle","Modalité de contrôle","Organismes","Département","Lieu","Secteur d'activité"
"VIDEOPROTECTION","sur place","SOCIETE BOULANGERIE PATISSERIE RUSSO (GROSBLIEDERSTROFF)","57","GROSBLIEDERSTROFF","Commerce"
"VIDEOPROTECTION","sur place","COMMUNE DE DUNKERQUE","59","DUNKERQUE","Collectivités locales"
"VIDEOPROTECTION","sur place","PREFECTURE DE POLICE DE PARIS - IRIS PLAN VIDEOPROTECTION POUR PARIS","92","PUTEAUX","Police/justice/sécurité"
"VIDEOPROTECTION","sur place","PREFECTURE DE POLICE DE PARIS  - DIRECTION DE L'ORDRE PUBLIC ET DE LA CIRCULATION","75","PARIS","Police/justice/sécurité"
"VIDEOPROTECTION","sur place","G.L.C. FITNESS","69","VILLEURBANNE","Commerce"
"VIDEOPROTECTION","sur place","GC FITNESS LYON","69","LYON","Commerce"
"VIDEOPROTECTION","sur place","GC FITNESS LYON","69","LYON","Commerce"
"VIDEOPROTECTION","sur place","SNCF MOBILITIES
(GARE SNCF DE POISSY)","78","POISSY","Transport"
"VIDEOPROTECTION","sur place","SNCF MOBILITIES
(GARE SNCF SAINT-LAZARE)","75","PARIS","Transport"
"VIDEOPROTECTION","sur place","SNCF MOBILITES
(GARE SNCF DE ST-LAZARE - BOUTIQUE)","75","PARIS","Transport"
"VIDEOPROTECTION","sur place","SNCF MOBILITES
(GARE SNCF DE CHANTILLY-GOUVIEUX)","60","CHANTILLY","Transport"
"VIDEOPROTECTION","sur place","SNCF MOBILITES
(GARE SNCF DE DUNKERQUE)","59","DUNKERQUE","Transport"
"VIDEOPROTECTION","sur place","SNCF MOBILITIES
(GARE SNCF DE MASSY PALAISEAU GRANDE CEINTURE)","91","MASSY","Transport"
"VIDEOPROTECTION","sur place","DECATHLON","92","PUTEAUX","Commerce"
"VIDEOPROTECTION","sur place","COMMUNE DE VITRY-LE-FRANCOIS","51","VITRY-LE-FRANCOIS","Police/justice/sécurité"
"VIDEOPROTECTION","sur place","HOTEL MELIA","92","COURBEVOIE","Commerce"
"VIDEOPROTECTION","sur place","MUSEE CANTINI","13","MARSEILLE","Collectivités locales"
"VIDEOPROTECTION","sur place","INSTITUT DU MONDE ARABE","75","PARIS","Education/culture/sport"
"VIDEOPROTECTION","sur place","MUSEE DE LA COUR D'OR - METZ METROPOLE","57","METZ","Education/culture/sport"
"VIDEOPROTECTION","sur place","PALAIS DES BEAUX ARTS DE LILLE","59","LILLE","Collectivités locales"
"VIDEOPROTECTION","sur place","HOTEL PULLMAN PARIS CENTRE-BERCY","75","PARIS","Commerce"
"VIDEOPROTECTION","sur place","SOFITEL PARIS LA DEFENSE","92","PARIS LA DEFENSE","Commerce"
"VIDEOPROTECTION","sur place","ZARA","13","MARSEILLE","Commerce"
"VIDEOPROTECTION","sur place","HOTEL PULLMAN MARSEILLE","13","MARSEILLE","Commerce"
"VIDEOPROTECTION","sur place","GALERIES LAFAYETTE MARSEILLE","13","MARSEILLE","Commerce"
"VIDEOPROTECTION","sur place","INTERMARCHE","23","FELLETIN","Commerce"
"VIDEOPROTECTION","sur place","COMMUNE DE NEUILLY SUR SEINE","92","NEUILLY-SUR-SEINE","Collectivités locales"
"VIDEOPROTECTION","sur place","COMMUNE DE CAEN","14","CAEN","Collectivités locales"
"VIDEOPROTECTION","sur place","LYCEE NOTRE DAME DU GRANDCHAMP","78","VERSAILLES","Education/culture/sport"
"VIDEOPROTECTION","sur place","HOTEL TRIANON","78","VERSAILLES","Commerce"
"VIDEOPROTECTION","sur place","COMMUNE DE MONTROND-LES-BAINS","42","MONTROND-LES-BAINS","Collectivités locales"
"VIDEOPROTECTION","sur place","MUSEE D'ART MODERNE ET D'ART CONTEMPORAIN DE NICE  ","6","NICE ","Collectivités locales"
"VIDEOPROTECTION","sur place","MUSEE D'HISTOIRE NATURELLE ET DE GEOLOGIE","59","LILLE","Education/culture/sport"
"VIDEOPROTECTION","sur place","MAIRIE DE LILLE","59","LILLE","Collectivités locales"
"VIDEOPROTECTION","sur place","E. LECLERC","44","REZÉ","Commerce"
"VIDEOPROTECTION","sur place","HOTEL MOLITOR PARIS -MGALLERY BY SOFITEL","75","PARIS","Commerce"
"VIDEOPROTECTION","sur place","HOTEL DE BELFORT","75","PARIS","Commerce"
"VIDEOPROTECTION","sur place","OPERA NATIONAL DE PARIS","75","PARIS","Education/culture/sport"
"VIDEOPROTECTION","sur place","MAISON DE LA CULTURE DU JAPON A PARIS","75","PARIS","Education/culture/sport"
"VIDEOPROTECTION","sur place","CITE MUSICALE DE L'ILE SEGUIN
 (LA SEINE MUSICALE)","92","BOULOGNE-BILLANCOURT","Education/culture/sport"
"VIDEOPROTECTION","sur place","MAIRIE DE MONTESSON","78","MONTESSON","Collectivités locales"
"VIDEOPROTECTION","sur place","BRICORAMA","78","ORGEVAL","Commerce"
"VIDEOPROTECTION","sur place","OPERA NATIONAL DE PARIS","78","PARIS","Education/culture/sport"
"VIDEOPROTECTION","sur place","MOHGHOTEL (MANDARIN ORIENTAL PARIS)","75","PARIS","Commerce"
"VIDEOPROTECTION","sur place","PARFUM (LE GRAND MUSEE DU PARFUM)","75","PARIS","Education/culture/sport"
"VIDEOPROTECTION","sur place","HIPPODROME DE VINCENNES","75","PARIS","Commerce"
